,0
551,0
1108,2
248,1
284,1
252,1
16,1
467,0
587,0
785,0
310,1
1182,2
913,2
442,0
771,0
22,1
810,0
438,1
53,1
1265,2
347,1
1191,2
211,1
304,1
407,1
94,1
507,0
850,0
652,0
738,0
1205,2
513,0
940,2
196,1
54,1
1123,2
1085,2
368,1
1246,2
123,1
90,1
750,0
103,1
980,2
282,1
840,0
531,0
1091,2
1107,2
191,1
11,1
1048,2
422,1
561,0
327,1
994,2
403,1
736,0
526,0
1147,2
849,0
892,2
1022,2
1311,2
674,0
589,0
295,1
942,2
699,0
1083,2
384,1
169,1
815,0
1317,2
915,2
743,0
1306,2
953,2
1016,2
1248,2
893,2
1154,2
566,0
884,2
474,0
377,1
120,1
514,0
63,1
1066,2
1,1
386,1
390,1
30,1
645,0
839,0
935,2
387,1
828,0
883,2
1005,2
1295,2
316,1
1136,2
93,1
1067,2
216,1
919,2
857,0
746,0
111,1
863,0
679,0
508,0
1165,2
167,1
681,0
1276,2
33,1
453,0
783,0
124,1
755,0
955,2
759,0
1203,2
604,0
424,1
918,2
733,0
91,1
763,0
52,1
1045,2
833,0
646,0
17,1
621,0
1153,2
1128,2
186,1
948,2
882,2
605,0
944,2
765,0
981,2
1253,2
924,2
588,0
920,2
1012,2
859,0
846,0
695,0
122,1
429,1
669,0
549,0
1133,2
132,1
656,0
1198,2
685,0
540,0
1316,2
932,2
574,0
272,1
825,0
1071,2
886,2
735,0
749,0
392,1
1264,2
581,0
523,0
555,0
241,1
439,1
964,2
34,1
952,2
1282,2
1179,2
616,0
804,0
490,0
541,0
1058,2
1222,2
145,1
44,1
7,1
450,0
1159,2
408,1
821,0
77,1
660,0
420,1
183,1
364,1
1290,2
748,0
1288,2
1132,2
276,1
1146,2
430,1
1131,2
744,0
564,0
1251,2
12,1
611,0
485,0
835,0
434,1
509,0
144,1
1137,2
640,0
215,1
625,0
288,1
1209,2
367,1
586,0
398,1
1309,2
462,0
1243,2
866,0
1100,2
688,0
757,0
641,0
1160,2
57,1
281,1
974,2
1232,2
481,0
794,0
131,1
49,1
999,2
237,1
149,1
767,0
1245,2
458,0
530,0
687,0
1139,2
171,1
292,1
194,1
969,2
626,0
221,1
70,1
612,0
269,1
471,0
1111,2
516,0
1292,2
606,0
789,0
1077,2
1055,2
809,0
580,0
878,0
1162,2
203,1
1225,2
788,0
318,1
740,0
600,0
393,1
5,1
300,1
119,1
971,2
1299,2
404,1
100,1
675,0
832,0
15,1
1307,2
448,0
141,1
26,1
293,1
250,1
1089,2
1072,2
760,0
585,0
1034,2
332,1
761,0
929,2
1052,2
335,1
1310,2
501,0
841,0
1174,2
615,0
1257,2
707,0
820,0
1163,2
557,0
443,0
596,0
546,0
671,0
153,1
1319,2
995,2
254,1
136,1
636,0
157,1
905,2
1031,2
315,1
543,0
1277,2
880,2
1062,2
425,1
1193,2
552,0
78,1
1230,2
320,1
497,0
1151,2
1207,2
965,2
705,0
1116,2
631,0
1135,2
67,1
1219,2
302,1
1063,2
1079,2
1155,2
405,1
174,1
35,1
234,1
1028,2
1274,2
1148,2
414,1
151,1
868,0
232,1
724,0
923,2
690,0
307,1
427,1
988,2
376,1
622,0
614,0
663,0
719,0
887,2
1122,2
731,0
42,1
1000,2
831,0
423,1
1142,2
907,2
957,2
790,0
624,0
1098,2
319,1
677,0
597,0
710,0
801,0
99,1
1134,2
632,0
1228,2
279,1
668,0
633,0
305,1
441,0
937,2
834,0
45,1
18,1
1293,2
27,1
263,1
121,1
598,0
256,1
562,0
260,1
28,1
1068,2
1213,2
1256,2
1126,2
693,0
466,0
228,1
926,2
62,1
95,1
1220,2
1141,2
1080,2
727,0
173,1
770,0
970,2
227,1
1074,2
454,0
930,2
678,0
444,0
357,1
117,1
1206,2
172,1
855,0
66,1
97,1
653,0
1103,2
370,1
584,0
476,0
209,1
223,1
954,2
984,2
975,2
285,1
1308,2
573,0
655,0
928,2
1030,2
991,2
619,0
257,1
1090,2
