,index_x,kmsqId,Operation,VMS_pointCount_PredictedOp,VMSOpTime(min)_PredictedOp,geom,index_y,VMS_pointCount_ObservedOp,VMSOpTime(min)_ObservedOp
0,0.0,29182,AN,4.0,33.64515819750719,"POLYGON ((0.7894369095162985 40.903998696111856, 0.8482064836318534 40.90947063028134, 0.8547705426592691 40.86461624892334, 0.7960420228635695 40.85914885271615, 0.7894369095162985 40.903998696111856))",0.0,4.0,33.64515819750719
1,1.0,29183,AN,2.0,16.822579098753597,"POLYGON ((0.7960420228635695 40.85914885271615, 0.8547705426592691 40.86461624892334, 0.8613217816298779 40.81975915888137, 0.8026342384042199 40.81429629149621, 0.7960420228635695 40.85914885271615))",1.0,2.0,16.822579098753597
2,2.0,29397,AN,5.0,42.05644774688399,"POLYGON ((0.8547705426592691 40.86461624892334, 0.9135080459649605 40.87004881097963, 0.9200182813764636 40.82518721992379, 0.8613217816298779 40.81975915888137, 0.8547705426592691 40.86461624892334))",2.0,5.0,42.05644774688399
3,3.0,29609,AN,1.0,8.411289549376798,"POLYGON ((0.9004493146693926 40.95976389954455, 0.9592780422017866 40.965170592440316, 0.9657726093987437 40.920309904064986, 0.9069850683440517 40.914907702438086, 0.9004493146693926 40.95976389954455))",3.0,5.0,42.05644774688399
4,4.0,29609,C,7.0,58.87902684563759,"POLYGON ((0.9004493146693926 40.95976389954455, 0.9592780422017866 40.965170592440316, 0.9657726093987437 40.920309904064986, 0.9069850683440517 40.914907702438086, 0.9004493146693926 40.95976389954455))",4.0,3.0,25.233868648130397
5,5.0,29611,AN,3.0,25.233868648130397,"POLYGON ((0.9135080459649605 40.87004881097963, 0.9722544786833843 40.875446530394754, 0.9787236837030782 40.83058046615998, 0.9200182813764636 40.82518721992379, 0.9135080459649605 40.87004881097963))",5.0,3.0,25.233868648130397
6,6.0,29612,AN,1.0,8.411289549376798,"POLYGON ((0.9200182813764636 40.82518721992379, 0.9787236837030782 40.83058046615998, 0.9851802579812547 40.78571170608204, 0.9265158082982752 40.780322924016126, 0.9200182813764636 40.82518721992379))",6.0,1.0,8.411289549376798
7,7.0,29823,AN,6.0,50.46773729626079,"POLYGON ((0.9592780422017866 40.965170592440316, 1.018115698615024 40.97054237837006, 1.0245690524647926 40.92567722669522, 0.9657726093987437 40.920309904064986, 0.9592780422017866 40.965170592440316))",7.0,6.0,50.46773729626079
8,8.0,29823,C,3.0,25.233868648130397,"POLYGON ((0.9592780422017866 40.965170592440316, 1.018115698615024 40.97054237837006, 1.0245690524647926 40.92567722669522, 0.9657726093987437 40.920309904064986, 0.9592780422017866 40.965170592440316))",8.0,3.0,25.233868648130397
9,9.0,29825,AN,4.0,33.64515819750719,"POLYGON ((0.9722544786833843 40.875446530394754, 1.031009786640641 40.88080939872859, 1.037437934592528 40.835938889176376, 0.9787236837030782 40.83058046615998, 0.9722544786833843 40.875446530394754))",9.0,4.0,33.64515819750719
10,10.0,29826,AN,4.0,33.64515819750719,"POLYGON ((0.9787236837030782 40.83058046615998, 1.037437934592528 40.835938889176376, 1.0438535296471612 40.79106569273603, 0.9851802579812547 40.78571170608204, 0.9787236837030782 40.83058046615998))",10.0,4.0,33.64515819750719
